kf, avgmse, stdmse, avgmae, stdmae, avgmape, stdmape, avgr2, stdr2, avgacc, stdacc, avgbal_acc, stdbal_acc
1,0.0012565183506026614,0.00045665182550765597,0.027606978512338905,0.0028820510439717213,0.0405243621370854,0.003993484215738032,0.2153764570597012,0.2851528376391173,0.52,0.0979795897113271,0.5333333333333333,0.1632993161855452
2,0.0029577692003075005,0.000720302153802015,0.044864916586908,0.006491358705006662,0.06376854888845415,0.00977666589939344,0.20224662517513278,0.19427596785761309,0.39999999999999997,0.12649110640673517,0.5,0.10540925533894598
3,0.0018033197366224784,0.00025865318447145414,0.034814866029348135,0.001561619809979077,0.051056345051202545,0.002186251715146873,-0.1929938970921195,0.1711131222441037,0.6,0.0,0.6666666666666666,0.0
4,0.0027934896451338237,0.0007535165849108628,0.04040983235297241,0.006783813935729224,0.0584678166852037,0.009487268977406413,0.05181081413909368,0.25576478453174795,0.27999999999999997,0.20396078054371136,0.3,0.2449489742783178
5,0.0011871363766643747,0.00038821689421923765,0.02837454546277105,0.0035638723446694666,0.04217609153962241,0.004738834568980981,0.33094403830500374,0.2187944305421024,0.48,0.09797958971132711,0.5333333333333333,0.06666666666666667
6,0.002304071677372776,0.0010748044229105956,0.03821366051444336,0.008185356661185373,0.056276463672033636,0.013416250820799131,-0.4763017309965251,0.6886659150443241,0.36,0.233238075793812,0.36666666666666664,0.2449489742783178
7,0.003573447302614598,0.0011245753871322367,0.049501916715960693,0.010424023581523207,0.07747790829047216,0.015928478450737867,-1.8717149964670696,0.9037379679623355,0.36,0.08,0.4666666666666666,0.06666666666666668
8,0.0023661736901313167,0.000368966911808178,0.03406297169848753,0.004761382928785245,0.04887164068849975,0.007543998437578681,-0.10652543501294964,0.17254492951921496,0.52,0.16,0.4333333333333333,0.13333333333333333
